#Npart= 1728
#ID,	x,	y,	z,	vx,	vy,	vz,	fx,	fy,	fz
    0 	-4.095094e+00 	-6.405909e+00 	8.783048e-01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
    1 	-3.111446e-01 	-1.944017e+00 	8.790935e-01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
    2 	2.530854e-01 	-5.462548e+00 	3.981699e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
    3 	1.034389e+01 	-9.278126e+00 	1.503073e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
    4 	6.572600e+00 	-8.854227e+00 	1.852755e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
    5 	-1.057366e-01 	1.933753e-01 	3.983507e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
    6 	-5.754184e+00 	-1.832545e+00 	1.024400e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
    7 	-1.023973e+01 	-2.765630e+00 	5.215749e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
    8 	-8.334460e+00 	4.501548e+00 	-5.467049e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
    9 	6.439331e+00 	8.989717e+00 	1.437434e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   10 	1.100468e+00 	-9.583688e+00 	-9.488538e-01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   11 	5.084022e+00 	3.860411e+00 	-9.111686e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   12 	4.443644e+00 	-6.870488e+00 	4.157796e-02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   13 	-3.800845e+00 	-9.931920e+00 	8.737292e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   14 	-2.135785e+00 	-8.267185e+00 	5.025277e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   15 	6.892207e+00 	8.249616e+00 	2.699099e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   16 	-2.718904e+00 	5.640394e-01 	5.981839e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   17 	-7.148786e+00 	7.267483e+00 	-7.078612e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   18 	1.818052e+00 	4.125174e+00 	7.590610e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   19 	4.323515e+00 	9.357299e+00 	-4.752147e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   20 	-7.118568e+00 	-6.036101e+00 	2.764503e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   21 	4.453101e-01 	-2.411028e+00 	-3.257741e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   22 	-1.114587e+00 	-9.800951e+00 	9.665472e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   23 	-5.463102e+00 	-4.962481e-01 	2.347833e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   24 	-5.219430e+00 	-9.342537e+00 	3.263991e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   25 	-5.925302e-01 	-5.605403e+00 	9.315138e-01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   26 	-8.039547e+00 	4.090866e+00 	-3.109914e-01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   27 	5.074950e+00 	2.682562e+00 	-9.557709e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   28 	-4.856093e+00 	-1.002422e+01 	-7.711853e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   29 	5.303005e+00 	-2.349194e+00 	1.018632e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   30 	9.320423e+00 	-3.601083e+00 	9.604647e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   31 	-2.639100e-01 	3.266724e-02 	5.254987e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   32 	-3.474181e+00 	-7.034708e+00 	3.407017e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   33 	7.558595e-01 	-4.981698e+00 	1.385594e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   34 	-8.283024e+00 	4.031572e+00 	-6.821865e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   35 	-3.428481e+00 	9.956857e+00 	9.174582e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   36 	7.954546e+00 	-1.018948e+01 	-7.695740e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   37 	-9.603285e+00 	-5.236892e-01 	6.824618e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   38 	9.643593e+00 	-6.607914e+00 	3.460105e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   39 	2.007374e+00 	-9.674309e+00 	6.060315e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   40 	-2.501769e+00 	-1.141373e+00 	-8.808264e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   41 	3.296497e+00 	-1.081708e-01 	-1.557001e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   42 	5.243699e+00 	8.188962e+00 	3.122872e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   43 	-4.518953e+00 	1.188955e+00 	-9.453023e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   44 	-4.888248e+00 	-1.011327e+01 	4.075298e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
   45 	1.179836e+00 	-7.404250e+00 	2.380851e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00
